,10_AE1712_C14_N14_19_200m_c_1,10_AE1712_C14_N14_19_200m_v_1,11_AE1712_C16_N1_7_80m_c_1,11_AE1712_C16_N1_7_80m_v_1,12_AE1712_C16_N8_14_200m_c_1,12_AE1712_C16_N8_14_200m_v_1,1_AE1712_C3_N1_7_80m_c_1,1_AE1712_C3_N1_7_80m_v_1,2_AE1712_C3_N8_14_200m_c_1,3_AE1712_C6_N1_7_80m_c_1,3_AE1712_C6_N1_7_80m_v_1,4_AE1712_C6_N8_17_200m_c_1,4_AE1712_C6_N8_17_200m_v_1,5_AE1712_C8_N7_12_80m_c_1,5_AE1712_C8_N7_12_80m_v_1,6_AE1712_C8_N19_24_200m_c_1,6_AE1712_C8_N19_24_200m_v_1,7_AE1712_C11_N1_7_80m_c_1,7_AE1712_C11_N1_7_80m_v_1,8_AE1712_C11_N8_14_200m_c_1,8_AE1712_C11_N8_14_200m_v_1,9_AE1712_C14_N3_8_80m_c_1,9_AE1712_C14_N3_8_80m_v_1
9_AE1712_C14_N3_8_80m_c_NODE_26_length_29432_cov_29.700698,0,0,0,0,0,0,4.6723,0,0,31.2328,0,0,0,0,0,0,0,0,0,0,0,45.2167,0
9_AE1712_C14_N3_8_80m_c_NODE_58_length_20574_cov_13.049568,0,0,0,0,0,0,3.7719,0,0,19.5999,0,0,0,0,0,0,0,0,0,0,0,19.5782,0
9_AE1712_C14_N3_8_80m_c_NODE_72_length_17888_cov_16.032059,0,0,0,0,0,0,2.9889,0,0,17.6526,0,0,0,0,0,0,0,0,0,0,0,23.2958,0
9_AE1712_C14_N3_8_80m_c_NODE_76_length_17740_cov_15.051747,0,0,0,2.0243,0,0,5.6634,3.5662,0,28.0413,2.7573,0,0,0,1.5785,0,0,0,3.4903,0,0,25.0942,2.2783
9_AE1712_C14_N3_8_80m_c_NODE_113_length_14695_cov_12.763306,0,0,0,0,0,0,3.313,0,0,20.4142,0,0,0,0,0,0,0,0,2.4196,0,0,17.0708,0
9_AE1712_C14_N3_8_80m_c_NODE_148_length_12859_cov_9.605774,0,0,0,0,0,0,0,0,0,6.5378,0,0,0,0,0,0,0,0,0,0,0,9.019,0
9_AE1712_C14_N3_8_80m_c_NODE_154_length_12682_cov_14.065133,0,0,0,0,0,0,2.9439,0,0,17.9429,0,0,0,0,0,0,0,0,0,0,0,22.3618,0
9_AE1712_C14_N3_8_80m_c_NODE_177_length_12023_cov_11.021597,0,0,0,0,0,0,2.9971,0,0,18.632,0,0,0,0,0,0,0,0,1.9825,0,0,14.4958,0
9_AE1712_C14_N3_8_80m_c_NODE_180_length_11912_cov_15.029742,2.8855,0,13.2047,0,3.5463,0,8.2573,0,2.1014,33.4484,0,0,0,7.9599,0,3.847,0,0,0,0,0,23.4411,0
9_AE1712_C14_N3_8_80m_c_NODE_195_length_11487_cov_50.111919,0,0,0,0,0,0,4.6633,0,0,57.0948,4.1846,0,0,0,0,0,0,2.9474,3.937,0,0,71.2286,4.6865
9_AE1712_C14_N3_8_80m_c_NODE_208_length_11173_cov_6.964672,0,0,0,0,0,0,2.7409,4.4367,0,20.301,6.0877,0,0,0,0,0,0,0,4.2328,0,0,11.9531,4.753
10_AE1712_C14_N14_19_200m_v_NODE_10_length_431711_cov_30.724378,0,47.5917,0,0,0,5.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_AE1712_C14_N14_19_200m_v_NODE_17_length_329826_cov_46.577582,0,72.6275,0,0,0,0,0,0,0,0,0,0,2.2462,0,0,0,36.1166,0,0,0,0,0,2.7922
10_AE1712_C14_N14_19_200m_v_NODE_23_length_289360_cov_29.479731,0,45.7261,0,0,0,5.4194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_AE1712_C14_N14_19_200m_v_NODE_99_length_97574_cov_79.591177,0,117.094,0,0,0,43.7631,0,0,0,0,0,0,22.0126,0,0,0,50.1133,0,0,0,29.1953,0,0
10_AE1712_C14_N14_19_200m_v_NODE_100_length_97471_cov_30.404891,0,47.0154,0,0,0,5.8275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_AE1712_C14_N14_19_200m_v_NODE_105_length_93582_cov_14.308711,0,22.1255,0,0,0,6.5883,0,0,0,0,0,0,4.0881,0,0,0,15.5358,0,0,0,5.0529,0,0
10_AE1712_C14_N14_19_200m_v_NODE_110_length_90431_cov_27.831629,0,42.8889,0,2.5013,0,25.4324,0,13.1006,0,0,4.0553,0,23.098,0,3.3531,0,38.3323,0,2.0163,0,22.5895,0,2.7956
10_AE1712_C14_N14_19_200m_v_NODE_112_length_88333_cov_15.154698,0,23.2739,0,0,0,10.245,0,3.0712,0,0,0,0,4.5938,0,0,0,10.942,0,0,0,5.4802,0,0
10_AE1712_C14_N14_19_200m_v_NODE_120_length_84782_cov_51.952636,0,59.2697,0,0,0,24.3657,0,5.7225,0,0,2.5134,0,15.1932,0,0,0,39.1191,0,0,0,18.3248,0,2.4505
10_AE1712_C14_N14_19_200m_v_NODE_132_length_76639_cov_10.774170,0,16.9256,0,0,0,8.4775,0,0,0,0,0,0,1.8823,0,0,0,13.4348,0,0,0,5.4268,0,0
10_AE1712_C14_N14_19_200m_v_NODE_138_length_73225_cov_91.900681,0,140.557,0,2.9969,0,43.3505,0,3.8374,0,0,1.6316,0,17.5779,0,1.9264,0,87.9368,0,0,0,18.142,0,0
10_AE1712_C14_N14_19_200m_v_NODE_146_length_67950_cov_12.402737,0,15.5973,0,3.6834,0,6.9292,0,9.9521,0,0,3.1921,0,7.813,0,3.002,0,10.7347,0,0,0,4.9506,0,0
10_AE1712_C14_N14_19_200m_v_NODE_148_length_65995_cov_39.562972,0,61.1393,0,0,0,14.9042,0,0,0,0,0,0,9.8379,0,0,0,24.9634,0,0,0,12.5749,0,0
10_AE1712_C14_N14_19_200m_v_NODE_149_length_65317_cov_16.384641,0,25.2197,0,0,0,15.73,0,0,0,0,0,0,6.844,0,0,0,20.8372,0,0,0,7.4863,0,0
10_AE1712_C14_N14_19_200m_v_NODE_150_length_64917_cov_27.729596,0,40.4113,0,0,0,16.9526,0,0,0,0,0,0,9.4008,0,0,0,23.1153,0,0,0,11.8115,0,0
10_AE1712_C14_N14_19_200m_v_NODE_151_length_64838_cov_10.271105,0,15.535,0,0,0,8.3919,0,0,0,0,0,0,4.7795,0,0,0,7.5596,0,0,0,5.6609,0,0
10_AE1712_C14_N14_19_200m_v_NODE_153_length_64383_cov_18.116459,0,27.662,0,1.93,0,8.9659,0,8.7779,0,0,4.4774,0,3.7794,0,2.7972,0,15.1158,0,0,0,3.8958,0,2.7565
10_AE1712_C14_N14_19_200m_v_NODE_154_length_63503_cov_29.169142,0,44.6724,0,0,0,9.8787,0,0,0,0,0,0,7.0144,0,0,0,19.3862,0,0,0,8.4912,0,0
10_AE1712_C14_N14_19_200m_v_NODE_157_length_61675_cov_75.279782,0,117.16,0,1.9795,0,42.1135,0,5.3143,0,0,0,0,24.6675,0,0,0,80.2097,0,0,0,46.5456,0,0
10_AE1712_C14_N14_19_200m_v_NODE_174_length_56025_cov_20.882570,0,28.2305,0,0,0,10.4001,0,4.2118,0,0,0,0,5.144,0,0,0,13.4126,0,0,0,8.0655,0,0
10_AE1712_C14_N14_19_200m_v_NODE_175_length_55942_cov_39.635693,0,62.1279,0,0,0,29.3708,0,8.197,0,0,2.6948,0,22.5283,0,2.5207,0,55.3986,0,0,0,33.6176,0,0
10_AE1712_C14_N14_19_200m_v_NODE_177_length_55730_cov_174.157709,0,165.0143,0,8.758,0,77.2901,0,21.3109,0,0,18.0151,0,80.7864,0,22.5805,0,103.8785,0,5.2154,0,72.9133,0,9.3353
10_AE1712_C14_N14_19_200m_v_NODE_178_length_55606_cov_20.537899,0,27.8341,0,0,0,11.9802,0,0,0,0,0,0,7.3416,0,0,0,20.8337,0,0,0,10.0531,0,0
10_AE1712_C14_N14_19_200m_v_NODE_184_length_53214_cov_14.861170,0,22.0981,0,0,0,4.212,0,0,0,0,0,0,2.1488,0,0,0,6.4797,0,0,0,4.0796,0,0
10_AE1712_C14_N14_19_200m_v_NODE_185_length_53146_cov_17.322618,0,26.4339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_AE1712_C14_N14_19_200m_v_NODE_186_length_52725_cov_19.994017,0,20.5205,0,0,0,8.9283,0,7.338,0,0,0,0,9.2155,0,0,0,15.73,0,0,0,9.4213,0,0
10_AE1712_C14_N14_19_200m_v_NODE_187_length_52172_cov_43.648392,0,67.3989,0,9.1657,0,44.097,0,26.5292,0,0,21.0421,0,23.7112,0,19.5045,0,62.5804,0,6.5393,0,30.2768,0,10.0999
10_AE1712_C14_N14_19_200m_v_NODE_190_length_52131_cov_10.792235,0,16.9208,0,0,0,7.8261,0,0,0,0,0,0,4.4091,0,0,0,10.0758,0,0,0,2.9486,0,0
10_AE1712_C14_N14_19_200m_v_NODE_195_length_50816_cov_24.461282,0,21.6596,0,0,0,9.0275,0,0,0,0,0,0,3.9557,0,0,0,10.1544,0,0,0,6.1552,0,0
10_AE1712_C14_N14_19_200m_v_NODE_200_length_49702_cov_15.787829,0,24.0043,0,0,0,7.3786,0,0,0,0,0,0,3.2591,0,0,0,9.5273,0,0,0,4.4969,0,0
10_AE1712_C14_N14_19_200m_v_NODE_203_length_49423_cov_23.367770,0,35.4406,0,0,0,10.5693,0,0,0,0,0,0,11.528,0,0,0,20.713,0,0,0,13.6145,0,0
10_AE1712_C14_N14_19_200m_v_NODE_209_length_47907_cov_27.186117,0,36.5045,0,0,0,14.5579,0,0,0,0,0,0,10.7443,0,0,0,24.4768,0,0,0,14.9339,0,0
10_AE1712_C14_N14_19_200m_v_NODE_211_length_47570_cov_19.875834,0,28.585,0,0,0,8.2276,0,0,0,0,0,0,2.9272,0,0,0,10.4672,0,0,0,4.7768,0,0
10_AE1712_C14_N14_19_200m_v_NODE_213_length_47530_cov_20.372579,0,29.3041,0,0,0,12.5146,0,0,0,0,0,0,4.3198,0,0,0,14.5915,0,0,0,7.2022,0,0
10_AE1712_C14_N14_19_200m_v_NODE_215_length_47070_cov_12.640074,0,18.1401,0,0,0,5.2333,0,0,0,0,0,0,2.7744,0,0,0,11.5954,0,0,0,1.9731,0,0
10_AE1712_C14_N14_19_200m_v_NODE_216_length_46744_cov_16.945058,0,25.9833,0,0,0,8.5593,0,0,0,0,0,0,4,0,0,0,12.212,0,0,0,5.3744,0,0
10_AE1712_C14_N14_19_200m_v_NODE_218_length_46603_cov_14.203585,5.6771,21.9586,0,0,6.8043,15.6817,0,3.5611,4.4096,2.1163,0,3.6547,2.6935,0,0,5.0674,10.9636,0,0,5.8218,5.4245,0,0
10_AE1712_C14_N14_19_200m_v_NODE_219_length_46573_cov_47.098224,4.0532,72.2895,0,0,3.2401,24.7539,0,3.0517,2.3462,0,0,0,13.8787,0,0,4.2823,42.1528,0,0,4.3719,14.9659,0,0
10_AE1712_C14_N14_19_200m_v_NODE_221_length_46074_cov_10.293584,0,16.0926,0,0,0,6.935,0,0,0,0,0,0,3.9728,0,0,0,7.0992,0,0,0,3.594,0,0
10_AE1712_C14_N14_19_200m_v_NODE_223_length_45738_cov_28.100874,0,33.243,0,0,0,12.7887,0,0,0,0,0,0,6.1393,0,0,0,15.7916,0,0,0,9.9197,0,0
10_AE1712_C14_N14_19_200m_v_NODE_230_length_44793_cov_48.710216,3.7969,59.8999,0,3.5713,3.6657,21.5214,0,8.1082,2.7826,0,3.2608,3.4947,12.4105,0,3.8015,3.3511,37.5034,0,0,5.3631,15.5037,0,2.5972
10_AE1712_C14_N14_19_200m_v_NODE_232_length_44648_cov_14.041776,0,19.7741,0,2.2022,0,11.5031,0,10.07,0,0,3.0277,0,8.0087,0,3.7507,0,15.0107,0,0,0,10.2571,0,0
10_AE1712_C14_N14_19_200m_v_NODE_234_length_44324_cov_16.061066,0,20.9037,0,0,0,10.6184,0,0,0,0,0,0,6.0718,0,0,0,13.0266,0,0,0,7.6273,0,0
10_AE1712_C14_N14_19_200m_v_NODE_235_length_44146_cov_13.093308,0,20.3592,0,0,0,3.2484,0,0,0,0,0,0,0,0,0,0,5.8927,0,0,0,4.0078,0,0
10_AE1712_C14_N14_19_200m_v_NODE_237_length_44054_cov_25.253678,0,40.3901,0,0,0,14.4481,0,3.2312,0,0,0,0,8.2319,0,0,0,25.232,0,0,0,11.6592,0,0
10_AE1712_C14_N14_19_200m_v_NODE_240_length_43312_cov_11.978628,0,19.238,0,0,0,9.3603,0,0,0,0,0,0,4.6604,0,0,0,8.4975,0,0,0,5.2124,0,0
10_AE1712_C14_N14_19_200m_v_NODE_241_length_43019_cov_9.532299,0,15.3675,0,0,0,5.303,0,0,0,0,0,0,3.1243,0,0,0,10.1397,0,0,0,5.0906,0,0
10_AE1712_C14_N14_19_200m_v_NODE_242_length_42763_cov_13.525699,4.5927,20.9534,0,1.6143,6.2188,12.8744,0,0,3.6326,0,0,3.1756,2.1442,0,0,4.4172,10.6562,0,0,5.2536,5.0603,0,0
10_AE1712_C14_N14_19_200m_v_NODE_244_length_42491_cov_19.249635,0,28.3368,0,0,0,14.5748,0,0,0,0,0,0,6.2975,0,0,0,17.7957,0,0,0,10.0774,0,0
10_AE1712_C14_N14_19_200m_v_NODE_245_length_42300_cov_35.812969,0,54.3892,0,0,0,13.5696,0,0,0,0,0,0,9.1437,0,0,0,25.6429,0,0,0,12.6018,0,0
10_AE1712_C14_N14_19_200m_v_NODE_249_length_41447_cov_78.087527,9.5911,104.8477,0,0,5.2205,27.2092,0,0,0,0,0,0,11.8192,0,0,4.2798,50.7413,0,0,3.2372,14.511,0,0
10_AE1712_C14_N14_19_200m_v_NODE_252_length_40600_cov_13.711818,0,21.1175,0,0,0,8.052,0,0,0,0,0,0,4.399,0,0,0,17.7409,0,0,0,8.1239,0,0
10_AE1712_C14_N14_19_200m_v_NODE_254_length_40439_cov_37.676379,0,57.6248,0,0,0,25.9017,0,0,0,0,0,0,9.5221,0,0,0,27.2719,0,0,0,14.368,0,0
10_AE1712_C14_N14_19_200m_v_NODE_258_length_39809_cov_11.901641,10.5166,18.5885,0,0,6.6661,8.2877,0,0,2.938,0,0,2.0548,2.9169,0,0,4.4778,8.7983,0,0,4.5188,3.1945,0,0
10_AE1712_C14_N14_19_200m_v_NODE_261_length_39206_cov_27.113905,0,41.9298,0,0,0,12.3521,0,0,0,0,0,0,9.5237,0,0,0,23.4908,0,0,0,14.0554,0,0
10_AE1712_C14_N14_19_200m_v_NODE_267_length_38548_cov_11.460659,0,17.6629,0,0,0,9.3256,0,0,0,0,0,0,5.3112,0,0,0,8.4961,0,0,0,6.6669,0,0
10_AE1712_C14_N14_19_200m_v_NODE_273_length_37977_cov_29.982216,0,42.9266,0,0,0,44.4953,0,0,0,0,0,0,21.8025,0,0,0,39.3463,0,0,0,24.2372,0,0
10_AE1712_C14_N14_19_200m_v_NODE_277_length_37461_cov_14.009951,0,21.2723,0,0,0,6.5807,0,0,0,0,0,0,3.1868,0,0,0,8.6512,0,0,0,4.2125,0,0
10_AE1712_C14_N14_19_200m_v_NODE_278_length_37220_cov_39.049969,0,55.4775,0,3.2189,0,22.2236,0,12.7694,0,0,4.4383,0,12.9626,0,3.5197,0,39.0045,0,2.3259,0,18.1278,0,3.1109
10_AE1712_C14_N14_19_200m_v_NODE_279_length_37159_cov_28.541017,0,44.2574,0,1.7644,0,20.914,0,3.0453,0,0,0,0,6.088,0,0,0,36.3084,0,0,0,5.0843,0,0
10_AE1712_C14_N14_19_200m_v_NODE_287_length_36314_cov_196.815548,0,227.7589,0,5.1182,0,80.382,0,9.1544,0,0,2.7321,0,24.2174,0,3.9669,0,135.2209,0,0,0,36.4338,0,3.7015
10_AE1712_C14_N14_19_200m_v_NODE_288_length_36254_cov_23.593277,3.2339,37.04,0,0,5.0631,20.0745,0,2.7175,4.1043,0,0,2.2983,9.2345,0,2.4025,4.5089,18.3447,0,0,4.3738,15.0029,0,0
10_AE1712_C14_N14_19_200m_v_NODE_289_length_35673_cov_15.169879,3.1231,22.9723,0,0,3.7921,14.3437,0,0,4.3605,0,0,3.4089,15.4267,0,0,4.2251,31.3107,0,0,6.8326,15.2894,0,0
10_AE1712_C14_N14_19_200m_v_NODE_291_length_35649_cov_14.344035,0,21.1162,0,0,0,9.1929,0,0,0,0,0,0,3.1926,0,0,0,15.3726,0,0,0,5.7461,0,0
10_AE1712_C14_N14_19_200m_v_NODE_292_length_35524_cov_137.201907,0,208.6142,0,16.0767,0,163.4184,0,26.422,0,0,23.0702,0,69.1444,0,23.519,0,190.1217,0,11.2795,0,106.8747,0,11.8703
10_AE1712_C14_N14_19_200m_v_NODE_294_length_35486_cov_13.673755,0,18.6685,0,0,3.4149,11.2027,0,0,0,0,0,0,4.1508,0,0,0,13.7202,0,0,2.2471,5.6198,0,0
10_AE1712_C14_N14_19_200m_v_NODE_296_length_35285_cov_9.247217,0,14.2169,0,0,0,7.3365,0,0,0,0,0,0,4.8853,0,0,0,7.7641,0,0,0,5.5212,0,0
10_AE1712_C14_N14_19_200m_v_NODE_297_length_35176_cov_10.478646,0,16.5468,0,0,0,9.6243,0,0,0,0,0,0,5.8296,0,0,0,14.5479,0,0,0,7.6807,0,0
10_AE1712_C14_N14_19_200m_v_NODE_298_length_34978_cov_13.085413,0,20.7845,0,0,0,11.1802,0,0,0,0,0,0,4.6514,0,0,0,8.9418,0,0,0,5.6924,0,0
10_AE1712_C14_N14_19_200m_v_NODE_299_length_34650_cov_16.730975,0,26.9693,0,0,0,9.8912,0,0,0,0,0,0,3.3588,0,0,0,18.2231,0,0,0,4.5614,0,0
10_AE1712_C14_N14_19_200m_v_NODE_301_length_34481_cov_16.508691,0,25.9154,0,0,0,14.558,0,0,0,0,0,0,1.9008,0,0,0,13.9457,0,0,0,3.2196,0,0
10_AE1712_C14_N14_19_200m_v_NODE_302_length_34448_cov_26.118268,0,38.793,0,0,0,8.5687,0,0,0,0,0,0,6.2257,0,0,0,16.2333,0,0,0,8.3065,0,0
10_AE1712_C14_N14_19_200m_v_NODE_305_length_34150_cov_46.622047,0,65.4436,0,5.8166,0,57.0854,0,10.6106,0,0,6.2097,0,17.3602,0,6.3797,0,52.4343,0,3.0059,0,27.5164,0,3.5355
10_AE1712_C14_N14_19_200m_v_NODE_306_length_33817_cov_9.155720,0,14.286,0,0,0,5.458,0,0,0,0,0,0,3.3314,0,0,0,8.1434,0,0,0,3.9317,0,0
10_AE1712_C14_N14_19_200m_v_NODE_307_length_33744_cov_23.324918,0,27.0327,0,0,0,9.0639,0,0,0,0,0,0,3.7077,0,0,0,12.3935,0,0,0,5.5271,0,0
10_AE1712_C14_N14_19_200m_v_NODE_308_length_33600_cov_9.665782,0,14.8754,0,0,0,4.4711,0,0,0,0,0,0,2.814,0,0,0,8.9255,0,0,0,2.4876,0,0
10_AE1712_C14_N14_19_200m_v_NODE_310_length_33163_cov_6.940216,0,11.8695,0,0,0,6.8346,0,0,0,0,0,0,2.0738,0,0,0,6.7501,0,0,0,3.7947,0,0
10_AE1712_C14_N14_19_200m_v_NODE_313_length_32732_cov_17.414362,0,24.0188,0,0,0,20.3387,0,0,0,0,0,0,10.0546,0,0,0,20.8599,0,0,0,12.8566,0,0
10_AE1712_C14_N14_19_200m_v_NODE_318_length_32220_cov_91.662073,0,70.6071,0,0,0,19.0934,0,2.8645,0,0,0,0,14.3215,0,0,0,43.7989,0,0,0,18.8471,0,0
10_AE1712_C14_N14_19_200m_v_NODE_321_length_32072_cov_16.248226,0,21.8134,0,0,2.9027,12.7639,0,0,2.2253,0,0,0,4.2029,0,0,1.8376,13.5674,0,0,2.5599,6.734,0,0
10_AE1712_C14_N14_19_200m_v_NODE_322_length_32070_cov_9.676273,0,15.3547,0,0,0,10.7451,0,0,0,0,0,0,3.3985,0,0,2.6752,5.6989,0,0,0,5.0137,0,0
10_AE1712_C14_N14_19_200m_v_NODE_323_length_31949_cov_44.981237,0,46.2343,0,0,0,21.2915,0,6.0599,0,0,2.2066,0,15.8839,0,2.4652,0,45.5275,0,0,0,25.2926,0,0
10_AE1712_C14_N14_19_200m_v_NODE_330_length_31523_cov_12.346690,0,19.2856,0,0,0,8.6831,0,0,0,0,0,0,1.9939,0,0,0,12.4279,0,0,0,2.2173,0,0
10_AE1712_C14_N14_19_200m_v_NODE_333_length_31278_cov_15.451844,5.2908,21.5688,0,0,6.9547,13.9056,0,0,6.5585,0,0,3.3076,2.9029,0,0,6.3856,9.9469,0,0,7.3947,6.6845,0,0
10_AE1712_C14_N14_19_200m_v_NODE_334_length_31250_cov_12.094120,0,10.0579,0,1.8306,0,3.8698,0,6.1695,0,0,1.9058,0,4.6254,0,1.6027,0,5.389,0,0,0,2.9505,0,0
10_AE1712_C14_N14_19_200m_v_NODE_340_length_30758_cov_15.305922,0,18.807,0,0,0,9.3994,0,0,0,0,0,0,6.1078,0,0,0,12.1525,0,0,0,7.0734,0,0
10_AE1712_C14_N14_19_200m_v_NODE_343_length_30653_cov_18.916405,2.2771,30.004,0,0,3.7478,15.0093,0,0,2.6998,0,0,0,5.2267,0,0,2.1267,21.8996,0,0,4.2413,9.9548,0,0
10_AE1712_C14_N14_19_200m_v_NODE_344_length_30614_cov_14.355765,0,22.0236,0,0,0,11.9386,0,0,0,0,0,0,0,0,0,0,10.1522,0,0,0,2.9232,0,0
10_AE1712_C14_N14_19_200m_v_NODE_345_length_30563_cov_38.271403,0,41.4089,0,0,0,19.0722,0,0,0,0,0,0,6.8503,0,0,0,18.508,0,0,0,10.7143,0,0
10_AE1712_C14_N14_19_200m_v_NODE_348_length_30149_cov_16.040137,5.7372,26.829,0,0,5.6425,20.0866,0,0,3.2782,0,0,0,6.8578,0,0,5.0438,9.9131,0,0,2.4381,3.4378,0,0
10_AE1712_C14_N14_19_200m_v_NODE_353_length_29631_cov_8.177641,0,12.8488,0,0,0,6.5045,0,0,2.3948,0,0,0,3.546,0,0,3.0381,4.5706,0,0,2.3878,3.0381,0,0
10_AE1712_C14_N14_19_200m_v_NODE_356_length_29385_cov_9.629316,0,15.5719,0,0,4.5828,10.9297,0,2.7853,2.7655,0,0,2.8418,6.4781,0,0,2.8282,12.799,0,0,3.3699,7.8711,0,0
10_AE1712_C14_N14_19_200m_v_NODE_357_length_29271_cov_16.695211,0,25.8258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_AE1712_C14_N14_19_200m_v_NODE_358_length_29246_cov_17.826322,0,27.6321,0,0,0,7.2296,0,0,0,0,0,0,1.6878,0,0,0,13.3292,0,0,0,2.5078,0,0
10_AE1712_C14_N14_19_200m_v_NODE_359_length_29004_cov_18.232378,0,27.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_AE1712_C14_N14_19_200m_v_NODE_363_length_28870_cov_9.117042,0,14.0338,0,0,0,6.2855,0,0,0,0,0,0,4.9968,0,0,0,10.5277,0,0,0,3.9712,0,0
10_AE1712_C14_N14_19_200m_v_NODE_365_length_28843_cov_11.935375,0,18.5409,0,0,0,9.0641,0,3.4635,0,0,3.2529,0,5.0688,0,2.7963,0,9.929,0,2.6789,0,4.1307,0,2.3211
10_AE1712_C14_N14_19_200m_v_NODE_366_length_28805_cov_12.925647,0,20.7384,0,0,2.4517,10.6639,0,0,0,0,0,0,5.2821,0,0,3.4342,17.6746,0,0,2.504,8.1851,0,0
10_AE1712_C14_N14_19_200m_v_NODE_367_length_28614_cov_14.433963,4.0558,18.6707,0,0,5.4272,10.6006,0,0,2.7132,0,0,3.0658,2.5588,0,0,4.3338,11.3569,0,0,4.9407,4.8591,0,0
10_AE1712_C14_N14_19_200m_v_NODE_370_length_28122_cov_15.573828,3.0874,26.4176,0,0,3.2841,9.0601,0,0,1.8507,0,0,0,2.5611,0,0,4.022,10.2862,0,0,0,2.804,0,0
10_AE1712_C14_N14_19_200m_v_NODE_376_length_27908_cov_18.725917,0,28.6024,0,0,0,9.2892,0,0,0,0,0,0,2.0675,0,0,0,12.3608,0,0,0,3.4527,0,0
10_AE1712_C14_N14_19_200m_v_NODE_377_length_27825_cov_11.734143,0,18.1736,0,0,0,4.13,0,0,0,0,0,0,1.8234,0,0,0,5.6475,0,0,0,3.3756,0,0
10_AE1712_C14_N14_19_200m_v_NODE_379_length_27762_cov_7.786708,0,12.4837,0,0,0,8.1724,0,0,0,0,0,0,4.1689,0,0,0,8.6971,0,0,0,1.889,0,0
10_AE1712_C14_N14_19_200m_v_NODE_381_length_27663_cov_8.930653,0,13.6202,0,0,0,2.548,0,0,0,0,0,0,2.2675,0,0,0,4.8294,0,0,0,1.8103,0,0
10_AE1712_C14_N14_19_200m_v_NODE_384_length_27346_cov_17.726649,0,29.0269,0,0,0,24.5505,0,5.1931,0,0,0,0,14.9162,0,0,0,23.5791,0,0,0,13.7414,0,0
10_AE1712_C14_N14_19_200m_v_NODE_386_length_27157_cov_17.401108,0,28.1012,0,0,0,10.1241,0,0,0,0,0,0,5.2562,0,0,0,12.6224,0,0,0,6.0296,0,0
10_AE1712_C14_N14_19_200m_v_NODE_388_length_27141_cov_14.833025,2.9162,24.8488,0,0,0,8.7124,0,0,0,0,0,0,3.3129,0,0,2.849,9.0118,0,0,0,2.9005,0,0
10_AE1712_C14_N14_19_200m_v_NODE_390_length_26816_cov_102.180897,0,142.687,0,5.2158,0,115.5836,0,8.3622,0,0,13.5727,0,41.6314,0,10.6124,0,127.0325,0,6.3784,0,67.7193,0,6.2544
10_AE1712_C14_N14_19_200m_v_NODE_391_length_26792_cov_16.022384,0,24.1131,0,2.5844,0,10.0542,0,5.2233,0,0,0,0,7.0473,0,2.4766,0,20.2355,0,0,0,8.4232,0,0
10_AE1712_C14_N14_19_200m_v_NODE_393_length_26763_cov_11.483849,0,18.2618,0,0,0,6.4026,0,0,0,0,0,0,3.5428,0,0,0,8.3003,0,0,0,5.6318,0,0
10_AE1712_C14_N14_19_200m_v_NODE_394_length_26740_cov_25.796347,0,36.9578,0,0,0,13.6941,0,3.0052,0,0,0,0,9.9085,0,0,0,31.7392,0,0,0,15.4487,0,0
10_AE1712_C14_N14_19_200m_v_NODE_396_length_26362_cov_13.585353,0,17.8799,0,0,0,10.3643,0,0,0,0,0,0,4.8145,0,0,0,12.6544,0,0,0,7.4797,0,0
10_AE1712_C14_N14_19_200m_v_NODE_397_length_26292_cov_11.239939,0,17.8728,0,0,0,16.1075,0,0,0,0,0,0,5.5784,0,0,0,18.8865,0,0,2.3126,8.3594,0,0
10_AE1712_C14_N14_19_200m_v_NODE_398_length_26252_cov_20.400688,0,32.0399,0,0,0,10.4867,0,0,0,0,0,0,2.3872,0,0,0,15.6438,0,0,0,4.7687,0,0
10_AE1712_C14_N14_19_200m_v_NODE_400_length_26118_cov_7.948696,0,10.333,0,0,0,3.1905,0,0,0,0,0,0,2.6905,0,0,0,7.4489,0,0,0,1.8774,0,0
10_AE1712_C14_N14_19_200m_v_NODE_402_length_25958_cov_16.457363,0,20.3724,0,0,0,7.9957,0,0,0,0,0,0,5.4929,0,0,0,12.9585,0,0,0,6.74,0,0
10_AE1712_C14_N14_19_200m_v_NODE_403_length_25958_cov_10.704571,0,17.1047,0,4.296,0,11.9507,0,6.7818,0,0,2.3838,0,3.7194,0,2.9427,0,10.3059,0,0,0,4.1224,0,2.4393
10_AE1712_C14_N14_19_200m_v_NODE_404_length_25922_cov_21.576785,3.3127,24.3576,0,0,3.5393,16.1746,0,0,0,0,0,0,7.6891,0,0,2.1857,21.3503,0,0,0,10.4353,0,0
10_AE1712_C14_N14_19_200m_v_NODE_409_length_25464_cov_20.796865,0,21.4762,0,0,0,9.9581,0,3.2318,0,0,0,0,5.5757,0,0,0,12.8424,0,0,0,7.8392,0,0
