,10_AE1712_C14_N14_19_200m_c_1,10_AE1712_C14_N14_19_200m_v_1,11_AE1712_C16_N1_7_80m_c_1,11_AE1712_C16_N1_7_80m_v_1,12_AE1712_C16_N8_14_200m_c_1,12_AE1712_C16_N8_14_200m_v_1,1_AE1712_C3_N1_7_80m_c_1,1_AE1712_C3_N1_7_80m_v_1,2_AE1712_C3_N8_14_200m_c_1,3_AE1712_C6_N1_7_80m_c_1,3_AE1712_C6_N1_7_80m_v_1,4_AE1712_C6_N8_17_200m_c_1,4_AE1712_C6_N8_17_200m_v_1,5_AE1712_C8_N7_12_80m_c_1,5_AE1712_C8_N7_12_80m_v_1,6_AE1712_C8_N19_24_200m_c_1,6_AE1712_C8_N19_24_200m_v_1,7_AE1712_C11_N1_7_80m_c_1,7_AE1712_C11_N1_7_80m_v_1,8_AE1712_C11_N8_14_200m_c_1,8_AE1712_C11_N8_14_200m_v_1,9_AE1712_C14_N3_8_80m_c_1,9_AE1712_C14_N3_8_80m_v_1
12_AE1712_C16_N8_14_200m_c_NODE_897_length_16078_cov_12.878820,6.7011,4.3207,0,0,14.1133,0,0,0,6.3512,2.6,0,6.4404,0,0,0,8.4146,0,0,0,10.3389,0,2.1317,0
12_AE1712_C16_N8_14_200m_c_NODE_1066_length_14408_cov_11.841602,7.3717,6.2331,0,0,10.6569,2.3466,0,0,6.326,0,0,5.821,0,0,0,6.4121,3.0423,0,0,14.401,2.8243,0,0
12_AE1712_C16_N8_14_200m_c_NODE_1093_length_14263_cov_10.344777,16.8503,6.4077,0,0,18.1758,8.0791,0,0,22.0301,0,0,19.0065,0,0,0,19.2455,3.6912,0,0,24.7353,4.2341,0,0
12_AE1712_C16_N8_14_200m_c_NODE_1207_length_13437_cov_8.138249,4.2586,18.2087,0,0,8.1107,9.0399,0,0,4.2991,0,0,4.0238,5.4976,0,0,4.7534,10.7948,0,0,6.8098,5.189,0,0
12_AE1712_C16_N8_14_200m_c_NODE_1367_length_12551_cov_8.787077,5.7748,7.7833,0,0,13.736,8.2239,0,0,7.6428,0,0,6.4361,2.3859,0,0,6.6415,5.1109,0,0,11.7541,4.4118,0,0
12_AE1712_C16_N8_14_200m_c_NODE_1380_length_12499_cov_7.644904,14.1148,0,0,0,12.3826,0,0,0,7.1979,6.9318,0,4.9013,0,0,0,9.4987,0,0,0,9.9422,0,3.613,0
12_AE1712_C16_N8_14_200m_c_NODE_1481_length_11949_cov_7.269794,2.7787,3.6305,0,0,11.6485,0,0,0,8.1078,4.451,0,5.5348,0,0,0,5.3863,0,0,0,9.6497,0,2.9774,0
12_AE1712_C16_N8_14_200m_c_NODE_1587_length_11478_cov_10.894746,18.1249,0,0,0,17.2299,0,0,0,10.8112,12.3317,0,8.9249,0,0,0,17.4166,0,0,0,18.782,0,5.453,0
12_AE1712_C16_N8_14_200m_c_NODE_1597_length_11452_cov_7.843604,6.7374,9.0804,0,0,12.463,5.6657,0,0,8.4463,0,0,5.7624,2.4651,0,0,6.8786,6.4428,0,0,10.6664,3.5107,0,0
12_AE1712_C16_N8_14_200m_c_NODE_1640_length_11271_cov_11.636412,9.8678,0,0,0,17.8206,0,0,0,13.4883,0,0,12.8085,0,0,0,13.2584,0,0,0,17.2081,0,0,0
